raceth,age_group_5yr,sex,statefip,n,weighted
White Non-Hispanic,45-49,NA,27,10948,1012159
White Non-Hispanic,45-49,NA,28,3841,381921
White Non-Hispanic,45-49,NA,29,11055,1102635
White Non-Hispanic,45-49,NA,30,1915,213366
White Non-Hispanic,45-49,NA,31,3534,341037
White Non-Hispanic,45-49,NA,32,3429,346093
White Non-Hispanic,45-49,NA,33,2506,273713
White Non-Hispanic,45-49,NA,34,11905,1093008
White Non-Hispanic,45-49,NA,35,1473,160245
White Non-Hispanic,45-49,NA,36,26287,2321438
White Non-Hispanic,45-49,NA,37,15870,1558836
White Non-Hispanic,45-49,NA,38,1437,132923
White Non-Hispanic,45-49,NA,39,21487,2092852
White Non-Hispanic,45-49,NA,40,5492,598582
White Non-Hispanic,45-49,NA,41,7558,763037
White Non-Hispanic,45-49,NA,42,23104,2142458
White Non-Hispanic,45-49,NA,44,1598,164089
White Non-Hispanic,45-49,NA,45,8046,766192
White Non-Hispanic,45-49,NA,46,1672,160232
White Non-Hispanic,45-49,NA,47,12645,1228956
White Non-Hispanic,45-49,NA,48,30366,2857413
White Non-Hispanic,45-49,NA,49,6767,631396
White Non-Hispanic,45-49,NA,50,1297,131439
White Non-Hispanic,45-49,NA,51,12747,1192550
White Non-Hispanic,45-49,NA,53,12192,1196586
White Non-Hispanic,45-49,NA,54,3664,386951
White Non-Hispanic,45-49,NA,55,11408,1071219
White Non-Hispanic,45-49,NA,56,1025,110055
White Non-Hispanic,50-54,NA,1,9080,862280
White Non-Hispanic,50-54,NA,2,858,104961
White Non-Hispanic,50-54,NA,4,10204,974598
White Non-Hispanic,50-54,NA,5,5850,543111
White Non-Hispanic,50-54,NA,6,36430,3500777
White Non-Hispanic,50-54,NA,8,10853,979732
White Non-Hispanic,50-54,NA,9,6837,625196
White Non-Hispanic,50-54,NA,10,1471,147243
White Non-Hispanic,50-54,NA,11,623,48058
White Non-Hispanic,50-54,NA,12,29934,2870381
White Non-Hispanic,50-54,NA,13,17027,1499593
White Non-Hispanic,50-54,NA,15,740,69742
White Non-Hispanic,50-54,NA,16,3583,359920
White Non-Hispanic,50-54,NA,17,22236,1925799
White Non-Hispanic,50-54,NA,18,13933,1326498
White Non-Hispanic,50-54,NA,19,6645,631258
White Non-Hispanic,50-54,NA,20,5319,500306
White Non-Hispanic,50-54,NA,21,10160,965889
White Non-Hispanic,50-54,NA,22,6796,648459
White Non-Hispanic,50-54,NA,23,3301,334218
White Non-Hispanic,50-54,NA,24,8892,763165
White Non-Hispanic,50-54,NA,25,13704,1285794
White Non-Hispanic,50-54,NA,26,20319,1906082
White Non-Hispanic,50-54,NA,27,11955,1086244
White Non-Hispanic,50-54,NA,28,4440,416194
White Non-Hispanic,50-54,NA,29,12550,1174257
White Non-Hispanic,50-54,NA,30,1999,215196
White Non-Hispanic,50-54,NA,31,3732,341417
White Non-Hispanic,50-54,NA,32,4023,397467
White Non-Hispanic,50-54,NA,33,3271,334067
White Non-Hispanic,50-54,NA,34,14543,1303855
White Non-Hispanic,50-54,NA,35,1717,176028
White Non-Hispanic,50-54,NA,36,31561,2698122
White Non-Hispanic,50-54,NA,37,19124,1796012
White Non-Hispanic,50-54,NA,38,1434,131393
White Non-Hispanic,50-54,NA,39,24901,2336538
White Non-Hispanic,50-54,NA,40,6049,625409
White Non-Hispanic,50-54,NA,41,8151,789389
